iter	Passed	Remaining
0	566	565455
1	1154	576120
2	1626	540376
3	2085	519306
4	2573	512155
5	3060	506940
6	3540	502237
7	4022	498759
8	4480	493356
9	4957	490794
10	5438	489000
11	5927	488024
12	6441	489063
13	6944	489058
14	7573	497317
15	8127	499855
16	8622	498608
17	9166	500072
18	9714	501587
19	10182	498931
20	10671	497516
21	11154	495846
22	11719	497824
23	12335	501627
24	12834	500562
25	13306	498468
26	13799	497288
27	14308	496714
28	14793	495334
29	15316	495218
30	15984	499649
31	16495	499002
32	16971	497325
33	17445	495670
34	17921	494115
35	18437	493711
36	18933	492787
37	19429	491864
38	19986	492498
39	20533	492814
40	21094	493413
41	21596	492601
42	22074	491285
43	22553	490028
44	23080	489809
45	23656	490607
46	24210	490899
47	24730	490482
48	25248	490031
49	25771	489664
50	26319	489749
51	26868	489838
52	27440	490307
53	28010	490710
54	28546	490475
55	29062	489910
56	29571	489219
57	30069	488362
58	30613	488260
59	31265	489825
60	31912	491240
61	32461	491112
62	33020	491118
63	33659	492273
64	34167	491492
65	34686	490869
66	35192	490072
67	35720	489580
68	36236	488936
69	36783	488693
70	37385	489164
71	37957	489228
72	38519	489145
73	39038	488512
74	39538	487646
75	40064	487104
76	40613	486840
77	41150	486416
78	41685	485982
79	42246	485834
80	42776	485333
81	43318	484957
82	43833	484285
83	44432	484523
84	44982	484219
85	45603	484671
86	46150	484315
87	46940	486471
88	47500	486212
89	48047	485813
90	48602	485486
91	49160	485194
92	49681	484532
93	50228	484115
94	50879	484691
95	51472	484701
96	52034	484403
97	52555	483727
98	53144	483666
99	53710	483398
100	54296	483289
101	54907	483405
102	55574	483985
103	56172	483947
104	56749	483719
105	57268	483000
106	57805	482436
107	58357	481989
108	58901	481475
109	59457	481065
110	60033	480808
111	60622	480646
112	61135	479890
113	61637	479041
114	62172	478455
115	62736	478095
116	63358	478165
117	63949	477997
118	64462	477242
119	64973	476469
120	65480	475679
121	65988	474898
122	66483	474030
123	67015	473432
124	67587	473114
125	68235	473316
126	68866	473391
127	69631	474362
128	70162	473735
129	70743	473436
130	71271	472783
131	71934	473021
132	72540	472876
133	73054	472129
134	73567	471374
135	74088	470682
136	74738	470797
137	75394	470942
138	75982	470655
139	76507	469975
140	77096	469690
141	77626	469037
142	78175	468508
143	78678	467701
144	79282	467494
145	79943	467612
146	80473	466965
147	81017	466398
148	81583	465958
149	82152	465529
150	82724	465118
151	83241	464398
152	83786	463835
153	84481	464099
154	85023	463513
155	85589	463062
156	86103	462328
157	86630	461662
158	87170	461074
159	87894	461447
160	88439	460872
161	88998	460374
162	89685	460531
163	90578	461729
164	91485	462973
165	92183	463137
166	92810	462941
167	93358	462345
168	93928	461861
169	94508	461422
170	95063	460862
171	95689	460644
172	96266	460187
173	96809	459567
174	97425	459292
175	98014	458888
176	98725	459046
177	99332	458715
178	100119	459205
179	100679	458649
180	101212	457971
181	101717	457171
182	102302	456728
183	102868	456201
184	103475	455850
185	104103	455592
186	104701	455197
187	105283	454732
188	105809	454029
189	106331	453307
190	106902	452797
191	107527	452509
192	108076	451906
193	108593	451166
194	109122	450478
195	109666	449855
196	110208	449224
197	110740	448556
198	111269	447874
199	111901	447606
200	112427	446914
201	112953	446221
202	113459	445455
203	114007	444853
204	114518	444109
205	115045	443427
206	115587	442805
207	116210	442493
208	116736	441810
209	117322	441355
210	117816	440553
211	118394	440070
212	118912	439363
213	119440	438692
214	120002	438149
215	120514	437424
